id,civic_centre,marriage_licenses,year,month,date
15381,ET,80,2011,01,2011-01-01
15382,NY,136,2011,01,2011-01-01
15383,SC,159,2011,01,2011-01-01
15384,TO,367,2011,01,2011-01-01
15385,ET,109,2011,02,2011-02-01
15386,NY,150,2011,02,2011-02-01
15387,SC,154,2011,02,2011-02-01
15388,TO,383,2011,02,2011-02-01
15389,ET,177,2011,03,2011-03-01
15390,NY,231,2011,03,2011-03-01
15391,SC,213,2011,03,2011-03-01
15392,TO,589,2011,03,2011-03-01
15393,ET,178,2011,04,2011-04-01
15394,NY,277,2011,04,2011-04-01
15395,SC,261,2011,04,2011-04-01
15396,TO,660,2011,04,2011-04-01
15397,ET,263,2011,05,2011-05-01
15398,NY,376,2011,05,2011-05-01
15399,SC,375,2011,05,2011-05-01
15400,TO,871,2011,05,2011-05-01
15401,ET,255,2011,06,2011-06-01
15402,NY,365,2011,06,2011-06-01
15403,SC,334,2011,06,2011-06-01
15404,TO,870,2011,06,2011-06-01
15405,ET,238,2011,07,2011-07-01
15406,NY,364,2011,07,2011-07-01
15407,SC,352,2011,07,2011-07-01
15408,TO,989,2011,07,2011-07-01
15409,ET,257,2011,08,2011-08-01
15410,NY,366,2011,08,2011-08-01
15411,SC,345,2011,08,2011-08-01
15412,TO,965,2011,08,2011-08-01
15413,ET,152,2011,09,2011-09-01
15414,NY,255,2011,09,2011-09-01
15415,SC,276,2011,09,2011-09-01
15416,TO,638,2011,09,2011-09-01
15417,ET,126,2011,10,2011-10-01
15418,NY,201,2011,10,2011-10-01
15419,SC,218,2011,10,2011-10-01
15420,TO,468,2011,10,2011-10-01
15421,ET,103,2011,11,2011-11-01
15422,NY,191,2011,11,2011-11-01
15423,SC,182,2011,11,2011-11-01
15424,TO,340,2011,11,2011-11-01
15425,ET,109,2011,12,2011-12-01
15426,NY,171,2011,12,2011-12-01
15427,SC,149,2011,12,2011-12-01
15428,TO,356,2011,12,2011-12-01
15429,ET,115,2012,01,2012-01-01
15430,NY,176,2012,01,2012-01-01
15431,SC,171,2012,01,2012-01-01
15432,TO,440,2012,01,2012-01-01
15433,ET,134,2012,02,2012-02-01
15434,NY,195,2012,02,2012-02-01
15435,SC,160,2012,02,2012-02-01
15436,TO,390,2012,02,2012-02-01
15437,ET,183,2012,03,2012-03-01
15438,NY,234,2012,03,2012-03-01
15439,SC,243,2012,03,2012-03-01
15440,TO,567,2012,03,2012-03-01
15441,ET,194,2012,04,2012-04-01
