_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
15381,ET,80,2011-01
15382,NY,136,2011-01
15383,SC,159,2011-01
15384,TO,367,2011-01
15385,ET,109,2011-02
15386,NY,150,2011-02
15387,SC,154,2011-02
15388,TO,383,2011-02
15389,ET,177,2011-03
15390,NY,231,2011-03
15391,SC,213,2011-03
15392,TO,589,2011-03
15393,ET,178,2011-04
15394,NY,277,2011-04
15395,SC,261,2011-04
15396,TO,660,2011-04
15397,ET,263,2011-05
15398,NY,376,2011-05
15399,SC,375,2011-05
15400,TO,871,2011-05
15401,ET,255,2011-06
15402,NY,365,2011-06
15403,SC,334,2011-06
15404,TO,870,2011-06
15405,ET,238,2011-07
15406,NY,364,2011-07
15407,SC,352,2011-07
15408,TO,989,2011-07
15409,ET,257,2011-08
15410,NY,366,2011-08
15411,SC,345,2011-08
15412,TO,965,2011-08
15413,ET,152,2011-09
15414,NY,255,2011-09
15415,SC,276,2011-09
15416,TO,638,2011-09
15417,ET,126,2011-10
15418,NY,201,2011-10
15419,SC,218,2011-10
15420,TO,468,2011-10
15421,ET,103,2011-11
15422,NY,191,2011-11
15423,SC,182,2011-11
15424,TO,340,2011-11
15425,ET,109,2011-12
15426,NY,171,2011-12
15427,SC,149,2011-12
15428,TO,356,2011-12
15429,ET,115,2012-01
15430,NY,176,2012-01
15431,SC,171,2012-01
15432,TO,440,2012-01
15433,ET,134,2012-02
15434,NY,195,2012-02
15435,SC,160,2012-02
15436,TO,390,2012-02
15437,ET,183,2012-03
15438,NY,234,2012-03
15439,SC,243,2012-03
15440,TO,567,2012-03
15441,ET,194,2012-04
15442,NY,225,2012-04
15443,SC,252,2012-04
15444,TO,561,2012-04
15445,ET,217,2012-05
15446,NY,294,2012-05
15447,SC,332,2012-05
15448,TO,807,2012-05
15449,ET,262,2012-06
15450,NY,353,2012-06
15451,SC,340,2012-06
15452,TO,888,2012-06
15453,ET,269,2012-07
15454,NY,404,2012-07
15455,SC,371,2012-07
15456,TO,971,2012-07
15457,ET,251,2012-08
15458,NY,353,2012-08
15459,SC,346,2012-08
15460,TO,980,2012-08
15461,ET,132,2012-09
15462,NY,233,2012-09
15463,SC,215,2012-09
15464,TO,563,2012-09
15465,ET,156,2012-10
15466,NY,208,2012-10
15467,SC,215,2012-10
15468,TO,486,2012-10
15469,ET,85,2012-11
15470,NY,180,2012-11
15471,SC,170,2012-11
15472,TO,391,2012-11
15473,ET,99,2012-12
15474,NY,163,2012-12
15475,SC,158,2012-12
15476,TO,365,2012-12
15477,ET,91,2013-01
15478,NY,169,2013-01
15479,SC,138,2013-01
15480,TO,365,2013-01
15481,ET,90,2013-02
15482,NY,163,2013-02
15483,SC,126,2013-02
15484,TO,346,2013-02
15485,ET,130,2013-03
15486,NY,217,2013-03
15487,SC,188,2013-03
15488,TO,455,2013-03
15489,ET,177,2013-04
